Breed;Temperament;Origin;Group;Height;Body Length;Weight;Life Expectancy;Price 
Abyssinian Cat;Playful, willful, active, intelligent;Abyssinia (Ethiopia);Medium-sized short-haired;8''-10'';12''-16'';"""8-12""";"""9-13""";$200-$1000
Persian Cat;Sweet, sensitive, playful, charming;Iran;Medium to large long-haired;"8""- 10""";"14""-17""";"""8-15""";"""14-15""";$1300 - $3000
Turkish Angora Cat;Playful, affectionate, intelligent, friendly;Turkey;Small to medium-sized long-haired;"8""- 10""";"12""-15""";"""5-10""";"""15-18""";$1000 - $2000
Oriental Shorthair Cat;Curious, affectionate, easygoing, playful;United Kingdom;Medium-sized short-haired;"8""- 10""";"11""-14""";"""6 - 12""";"""12-15""";$400-$2000
Serengeti Cat;Gentle, outgoing, loyal, playful;United States;Medium-sized short-haired;"8""- 10""";"12""-16""";"""8-15""";"""8-12""";$600 - $2,000
Snowshoe Cat;Loving, curious, family-oriented, vocal;United States;Medium to large short-haired;"9""- 11""";"12""-18""";"""6-12""";"""14-19""";$600 - $1200
Ocicat Cat;Energetic, sociable, inquisitive, affectionate;United States;Medium-to-large short-haired;"9""- 11""";"12""-16""";"""6-15""";"""12-18""";$800-$1,200
Chantilly / Tiffany Cat;Gentle, talkative, sociable, playful;United States;Medium-sized semi-longhair;"8""-10""";"12""-16""";"""8-15 """;"""11-15""";$300-$800
Norwegian Forest Cat;Playful, sweet, family-oriented, affectionate;Norway;Large long-haired;"9""- 12""";"12""-18""";"""12-16""";"""14-16""";$900-$1,500
Asian Semi-Longhair Cat;Sweet, sociable, curious, lively;United Kingdom;Medium to large sized medium to long hair;"10""-14""";"12""-16""";"""7-15""";"""12-16""";$700 - $1,200
Birman Cat;Relaxed, affectionate, inquisitive, intelligent;Burma;Medium sized longhair;"8""-11""";"15""-18""";"""6-14""";"""12-16""";$400 - $1,000
Australian Mist Cat;Friendly, playful, affectionate, family oriented;Australia;Medium-sized short-haired;"8.0""-10.0""";12.0''-16.0'';"""7-14""";"""12-16""";$700-$1,000
Himalayan Cat;Gentle, affectionate, family-friendly, sweet;United States;Medium-sized longhair;"12""-14""";"12""-16""";"""7-12 """;"""12-15""";$200-$3,000
Aegean Cat;Affectionate, social, playful, intelligent;Greece;Medium-sized short-haired;"8""-10""";12''-16'';"""7-10""";"""9-12 """;$300-$500
Russian White, Black, and Tabby; Affectionate, playful, inquisitive, family-oriented;Russia;Small to medium-sized short-haired;"8""-10""";"12""-18""";"""8-12""";"""10-15""";$400 - $2,000
American Bobtail Cat;Lively, intelligent, personable, curious;United States;Medium-to-large sized shorthair and longhair;"10""-14""";"12""-20""";"""7-18""";"""12-15""";$600 - $1,000
Cheetoh Cat;Friendly, intelligent, inquisitive, energetic;United States;Large short-haired;"12""-18""";"16""-22""";"""12-25""";"""10-15 """;$500-$2,400
York Chocolate Cat;Friendly, athletic, devoted, charming;United States;Large long-haired;"8""- 10""";"12""-15""";"""10-16""";"""13-15""";$600 - $1000
Ragamuffin Cat;Friendly, sweet, relaxed, affectionate;United States;Large-sized long-haired;"9""-11""";"12""-18""";"""10-15""";"""13-16""";$1200 - $2000
Selkirk Rex Cat;Calm, affectionate, loyal, charming;United States;Large-sized long-haired;"9""- 11""";"12""-17""";"""7-12""";"""14-15 """;$500- $800
Tonkinese Cat;Loving, gregarious, playful, inquisitive;United States;Small to medium-sized short-haired;"8""-10""";"12""-15""";"""12""-15""""";"""14-16""";$600 - $1000
Brazilian Shorthair Cat;Outgoing, intelligent, playful, energetic;Brazil;Medium-to-large shorthair;"8""-11""";"12""-16""";"""10-22""";"""14-20""";$1,000-$1,300
Javanese Cat;Curious, intelligent, talkative, playful;Canada;Medium-sized long-haired;"""10-14""";"""13-16""";"""10-6""";"""12-16""";$1,000-$1,500
Kurilian Bobtail Cat;Playful, energetic, affectionate, friendly;Russia;"Medium to large short-haired and long-haired
";"10""-14""";"14""-16""";"""8-12""";"""14-20""";$700-$3,000
American Polydactyl Cat;Intelligent, friendly, affectionate, inquisitive;United States;Medium to large-sized shorthair and longhair;"10""-14""";"12""-17""";"""7-15 """;"""14-16""";$500 - $2,000
Ojos Azules Cat;EXTINCT;United States;Medium-sized short-haired;"8""- 10""";"12""-16""";"""9-12""";"""10-12""";$700-$1,500
Burmilla Cat;Intelligent, people-oriented, fun-loving, affectionate;United Kingdom;Medium-sized shorthair and longhair;"8""-10""";"12""-16""";"""9-15""";"""10-16""";$500-$2,000
California Spangled Cat ;Playful, affectionate, sociable, intelligent;United States;Large shorthair;"8""-10""";"12""-16""";"""9-15""";"""9-16""";$800 - $1500
Savannah Cat;Friendly, affectionate, playful, intelligent;United States;Large-sized short-haired;"12""- 14""";"20""-22""";"""15-28""";"""18-20""";$1,500 - $25,000
Siamese Cat;Extroverted, talkative, intelligent, fun-loving;Thailand;Small to medium-sized short-haired;"8""- 10""";"11""-14""";"""8-15""";"""15-20""";$600 - $1200
Chausie Cat;Energetic, intelligent, friendly, family-oriented;Egypt, South Asia;Large short-haired;"""14-18""";"""16-22""";"""12-25""";"""10-15""";$500-$2500
Chartreux Cat;Playful, friendly, intelligent, sweet;France, Syria;Large shorthair;"8""-11""";"15""-18""";"""11-18""";"""11-15""";$500-$2,500
Oriental Longhair Cat;Curious, affectionate, easygoing, playful;United States, United Kingdom;Medium-sized long-haired;"8""- 10""";"11""-14""";"""6-12""";"""12-15""";$400-$2000
Munchkin Cat;Sweet, friendly, curious, playful;United States;Small short-haired and long-haired;"6""-9""";"11""-14""";"""4-9""";"""12-15""";$1,000-$2,000
Sphynx Cat;Loving, sociable, intelligent, loyal;Canada;Medium-sized hairless;"8""- 10""";"13""-15""";"""8-16""";"""13-14""";$1800 - $3000
Oriental Bicolor Cat;Affectionate, inquisitive, gregarious, athletic;United States;Medium-sized Short-haired;"8""- 10""";"11""-14""";"""8 - 12""";"""8 - 12""";$400-$2000
Bombay Cat;Playful, easygoing, intelligent, sociable;United States;Medium-sized short-haired;"8""- 10""";"12""-16""";"""6-11""";"""12-16""";$400-$2,000
Thai / Old Style Siamese Cat;Extroverted, vocal, affectionate, inquisitive;Thailand;Large long-haired;"21""- 23""";"12""-18""";"""10-16""";"""12-16""";$600 - $1200
Havana Brown Cat;Affectionate, people-oriented, alert, inquisitive;United Kingdom;Medium-sized short-haired;"12""-14""";"12""-16""";"""6-10""";"""12-15""";$500-$1,500
Maine Coon Cat;Gregarious, kind, intelligent, family-oriented;United States;Large Longhair;"10""-16""";"12""-18""";"""9-20""";"""9-15 """;$400-$2000
Singapura Cat;Personable, curious, attentive, intelligent;Singapore;Small short-haired;"7""- 8""";"9""-12""";"""4-9""";"""12-13""";$1500 - $2000
Japanese Bobtail Cat;Playful, charming, inteligent, outgoing Playful, charming, inteligent, outgoing;Japan;Medium-sized shorthair and longhair;"10""-14""";"12""-16""";"""6-10""";"""12-16""";$500-$2,000
American Longhair Cat;Sociable, easygoing, playful, inquisitive;United States;Medium-to-large sized longhair;"10""-14""";"12""-17""";"""8-15 """;"""12-17""";$100 - $1,000
Bengal Cat;Energetic, curious, affectionate, intelligent;United States;Large shorthair;"14""-18""";"16""-22""";"""12-22""";"""10-15""";$1,500 - $3,000
Turkish Vankedisi Cat;Active, affectionate, pleasant, playful;Turkey;Large long-haired;"9""- 11""";"14""-17""";"""7-19""";"""15-16""";$800 - $1500
American Shorthair Cat;Active, inquisitive, playful, personable;United States;Medium-to-large sized shorthair;"10""-14""";"12""-17""";"""8-15""";"""12 -17 """;$100 - $1,000
Toyger Cat;Active, affectionate, playful, intelligent;United States;Medium-sized short-haired;"8""- 10""";"12""-16""";"""7-15""";"""12-15""";$1200 - $3000
Manx Cat;Playful, intelligent, family-oriented, dog-like;Isle of Man;Medium-sized short-haired;"10""-14""";"14""-16""";"""7-13""";"""12-16 """;$500-$1,500
British Shorthair Cat;Affectionate, easygoing, sensible, friendly;United Kingdom;Medium-to-large shorthair;"11""-14""";"12""-16""";"""8-18""";"""12-16""";$300-$5,000
Donskoy Cat;Gentle, sociable, smart, trainable;Russia;Medium-sized hairless;"12""-14""";"12""-16""";"""8-15""";"""12-15""";$500-$2,500
Burmese Cat;Loving, attentive, inquisitive, family-oriented;Burma / Myanmar;Medium-sized short-haired;"8""-10""";"12""-16""";"""8-12""";"""12-16""";$450-$3,000
Russian Blue Cat;Affectionate, playful, inquisitive, family-oriented;Russia;Medium-sized short-haired;"8""-10""";"15""-18""";"""10-14""";"""10-16""";$1000 - $1700
German Rex Cat;Playful, friendly, loyal, family-friendly;Germany;Small short-haired;"10""-12""";"12""-16""";"""6-10""";"""12-15""";$500-$1,000
British Longhair Cat;Calm, affectionate, people-oriented, cheerful;United Kingdom;Medium-to-large longhair;"11""-14""";"12""-16""";"""8-18""";"""12-16""";$300-$5,000
Siberian Cat;Energetic, friendly, playful, affectionate;Russia;Medium to large long-haired;"9""- 11""";"15""-18""";"""17-26""";"""12-15""";$1000-$2000
Pixie-Bob Cat;Sweet, sociable, affectionate, playful;United States, Africa;United States, Africa;"10""-12""";"10""-12""";"""8-18""";"""10""-12""";13-16
European Shorthair Cat;Calm, dependable, independent, friendly;Sweden;Medium-sized short-haired;"12""-14""";"12""-14""";"""8-15""";"""14-20""";$100-$500
Peterbald Cat;Loyal, affectionate, inquisitive, dog-like;Russia;Medium-sized hairless;"8""- 10""";"14""-17""";"""6-10""";"""10-12""";$1700-$3000
Nebelung Cat;Intelligent, affectionate, loyal, quiet;United States;Small to medium-sized long-haired;"9""- 13""";"14""-16""";"""7-15 """;"""11-18""";$600-$1,200
Exotic Shorthair Cat;Endearing, quiet, affectionate, gentle;United States;United States;"10""-12""";"11""-16""";"""8-15""";"""12-16""";$1,000-$5,000
Cymric Cat;Calm, friendly, intelligent, family-oriented;$1200 - $2300;Medium-sized short-haired and long-haired;"11""-14""";"12""-16""";"""8-12""";"""10-15""";$300-$800
American Curl Cat;Curious, intelligent, social, playful;United States;Small-sized short to medium hair;"8""-10""";"12""-16""";"""5-10""";"""11-15""";$1,000 - $2,000
Ragdoll Cat;Sweet, easygoing, gentle, relaxed;United States;Large-sized long-haired;"9""-11""";"17""-21""";"""10-20 """;"""18-20""";$1200 - $2300
Korat Cat;Enchanting, strong-willed, alert, active;Thailand;Medium-sized short-haired;"10""-14""";"12""-18""";"""6-10""";"""12-15""";$400-$2,000
Egyptian Mau Cat;Alert, devoted, affectionate, sensitive;Egypt;Small to medium-sized shorthair;"11""-14""";"12""-16""";"""6-14""";"""12-15""";$500-$3,500
Ukrainian Levkoy Cat;Playful, affectionate, curious, sociable;Ukraine;Medium-sized hairless;"8""- 10""";"12""-16""";"""11-15""";"""15- 20""";$400 to $800
Scottish Fold Cat;Family-oriented, quiet, affectionate, loyal;United Kingdom;Medium to large short-haired and long-haired;"8""- 10""";"14""-16""";"""6-13""";"""13-15""";$1,000 - $2,000
Devon Rex Cat;Doglike, energetic, people-oriented, mischievous;United Kingdom;Small to medium-sized shorthair;"12""-14""";"12""-16""";"""6-9""";"""10-15""";$600-$2,000
Ussuri Cat;Athletic, playful, independent, intelligent;Russia;Medium to large short-haired;"9""- 11""";"12""-16""";"""11-15""";"""12-15""";$800 - $1500
LaPerm Cat;Gentle, active, curious, affectionate;United States;Medium-sized shorthair and longhair;"10""-14""";"14""-16""";"""5-10""";"""12-15 """;$800-$1,500
Minuet (Napoleon) Cat;Playful, affectionate, and laid-back;United States;Medium, long hair or short hair;7”-8”;"12""-16""";"""7-8""";15+;$500-$2,500
Dragon Li Cat;Clever, active, vigilant, friendly;China;Medium-sized short-haired;"12""-14""";"12""-16""";"""9-12""";"""12-15""";$400-$1,000
American Wirehair Cat;Gentle, sociable, sensible, affectionate;United States;Medium-sized short to medium hair;"10""-14""";"12""-17""";"""8-15""";"""12-18""";$800 - $1,200
Turkish Van Cat;Active, affectionate, personable, playful;Turkey;Large long-haired;"9""- 11""";"14""-17""";"""7-20""";"""12-17 """;$800 - $1500
Oregon Rex Cat;EXTINCT;United States;Large long-haired;"10""-14";"16""-24""";"""5-10""";"""12-15 """;$600-$1500
Sokoke Cat;Friendly, intelligent, dog-like, inquisitive;Kenya;Medium-sized short-haired;"7""- 8""";"""12""-16""""";"""5-10 """;"""15-20 """;$500 - $2000
Colorpoint Shorthair Cat;Sociable, trainable, vocal, family-oriented;United States;Medium-to-large shorthair;"11""-14""";"12""-16""";"""6-12""";"""12-16""";$500-$800
Somali Cat;Outgoing, inquisitive, lively, family-oriented;United States;Medium-sized long-haired;"8""- 10""";"11""-14""";"""8-12""";"""11-12""";$1000 - $1500
Cornish Rex Cat;Extroverted, comical, affectionate, inquisitive;United Kingdom;Small to medium-sized shorthair;"12""-14""";"12""-16""";"""6-9""";"""12-20""";$800-$1,300
Balinese Cat;Affectionate, inquisitive, outgoing, intelligent;United States;Small to medium-sized longhair;"8""-10""";"12""-16""";"""4-10""";"""12-15""";$1,000 - $1,500
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;?;;;;;;
;;;;;;;;
;;;;;;;;
;;?;;;;;;
;;;;;;;;
;;;;;;;;
;;?;;;;;;
;;;;;;;;
;;;;;;;;
;;?;;;;;;
;;;;;;;;
;;?;;;;;;
;;;;;;;;
;;;;;;;;
;;?;;;;;;
;;;;;;;;
